customer_id,product_id,sale_month,sale_year,unit_return,product_rate,total_return_amount
2109,25,April,2025,3,118.15,354.45
2109,8457,April,2025,1,61.2,61.2
2109,8534,April,2025,1,102,102
2132,8485,April,2025,1,93.5,93.5
2145,8164,April,2025,2,119,238
2145,8457,April,2025,2,61.2,122.4
2145,8512,April,2025,1,104.55,104.55
2145,8534,April,2025,1,102,102
2145,8664,April,2025,2,63.75,127.5
2199,8485,April,2025,1,93.5,93.5
3033,8594,April,2025,2,228.02,456.04
5001,3,April,2025,1,324.7,324.7
5001,25,April,2025,1,118.15,118.15
5001,8457,April,2025,2,61.2,122.4
5001,8527,April,2025,3,29.75,89.25
5001,8605,April,2025,1,74.35,74.35
5001,8673,April,2025,2,41.34,82.68
5001,8974,April,2025,3,119,357
5001,9012,April,2025,1,465.38,465.38
5002,8406,April,2025,1,92,92
5002,8407,April,2025,1,127.5,127.5
5002,8457,April,2025,3,61.2,183.6
5002,8467,April,2025,1,333.2,333.2
5002,8510,April,2025,3,599.15,1797.45
5002,8603,April,2025,16,51.85,829.6
5002,8664,April,2025,1,63.75,63.75
5002,9001,April,2025,3,55.25,165.75
5003,8457,April,2025,3,61.2,183.6
5003,8512,April,2025,1,104.55,104.55
5003,8534,April,2025,2,102,204
5003,8974,April,2025,2,119,238
5003,8980,April,2025,1,93.5,93.5
5003,9001,April,2025,1,55.25,55.25
5004,8406,April,2025,1,92,92
5004,8413,April,2025,1,95.17,95.17
5004,8512,April,2025,1,104.55,104.55
5004,8633,April,2025,1,79.81,79.81
5004,8673,April,2025,1,41.34,41.34
5005,25,April,2025,1,118.15,118.15
5006,8457,April,2025,3,61.2,183.6
5006,8603,April,2025,2,51.85,103.7
5006,8974,April,2025,1,119,119
5006,8980,April,2025,1,93.5,93.5
5007,3,April,2025,1,324.7,324.7
5007,8664,April,2025,2,63.75,127.5
5007,8974,April,2025,1,119,119
5007,9001,April,2025,1,55.25,55.25
5009,3,April,2025,1,324.7,324.7
5009,25,April,2025,7,118.15,827.05
5009,8485,April,2025,1,93.5,93.5
5009,8603,April,2025,1,51.85,51.85
5009,8664,April,2025,2,63.75,127.5
5009,8974,April,2025,2,119,238
5009,8980,April,2025,2,93.5,187
5012,8457,April,2025,3,61.2,183.6
5012,8467,April,2025,3,333.2,999.6
5012,8512,April,2025,2,104.55,209.1
5012,8603,April,2025,2,51.85,103.7
5014,3,April,2025,1,324.7,324.7
5014,23,April,2025,1,79.67,79.67
5014,25,April,2025,16,118.15,1890.4
5014,8467,April,2025,1,333.2,333.2
5014,8527,April,2025,1,29.75,29.75
5014,8534,April,2025,1,102,102
5014,8605,April,2025,1,74.35,74.35
5014,8664,April,2025,1,63.75,63.75
5014,8673,April,2025,1,41.34,41.34
5019,8457,April,2025,7,61.2,428.4
5026,8457,April,2025,9,61.2,550.8
5026,8534,April,2025,2,102,204
5026,8603,April,2025,5,51.85,259.25
5026,8673,April,2025,2,41.34,82.68
5027,8605,April,2025,3,74.35,223.05
5027,8673,April,2025,1,41.34,41.34
5028,8474,April,2025,2,125.65,251.3
5028,8901,April,2025,1,187,187
5029,25,April,2025,4,118.15,472.6
